order_id,customer_id,warehouse_id,driver_id,vehicle_id,order_date,region,order_status,delivery_status,order_value,delivery_distance_km,promised_delivery_time_min,actual_delivery_time_min,delivery_delay_min,is_delayed,delivery_per_km_value,order_day_of_week,order_month,order_day,is_weekend,distance_bucket,order_value_bucket,temperature_c,humidity_pct,rainfall_mm,weather_condition,is_rainy,heavy_rain_flag,high_humidity_flag,weather_risk,delay_ratio,delivery_efficiency,delivery_risk,weather_delay_risk
ORD004741,CUST0782,WH002,DRV0146,VEH0130,2026-01-01,Madurai,Dispatched,In Transit,329.06,9.32,40.9,47.53,6.63,1,35.31,Thursday,1,1,0,Medium,Medium,29.52,91.48,0.96,Cloudy,1,0,1,Moderate,0.162,0.861,Medium,2
ORD002538,CUST0204,WH003,DRV0028,VEH0174,2026-01-01,Chennai,Confirmed,Delivered,268.41,6.7,49.65,45.88,0.0,0,40.06,Thursday,1,1,0,Medium,Medium,26.46,83.67,9.34,Rain,1,0,1,Moderate,0.0,1.082,Low,1
ORD003305,CUST0462,WH009,DRV0160,VEH0192,2026-01-01,Coimbatore,Processing,Delayed,151.91,14.63,123.7,107.61,0.0,1,10.38,Thursday,1,1,0,Medium,Low,23.75,78.85,13.0,Rain,1,0,0,Moderate,0.0,1.15,Medium,2
ORD004920,CUST0537,WH006,DRV0063,VEH0175,2026-01-01,Vellore,Cancelled,Cancelled,311.82,49.65,,,,0,6.28,Thursday,1,1,0,Very Long,Medium,35.1,72.8,5.28,Light Rain,1,0,0,Moderate,,,Low,1
ORD001001,CUST0981,WH001,DRV0118,VEH0139,2026-01-01,Chennai,Processing,Delivered,123.69,27.54,185.81,171.89,0.0,0,4.49,Thursday,1,1,0,Long,Low,26.46,83.67,9.34,Rain,1,0,1,Moderate,0.0,1.081,Low,1
ORD001975,CUST0778,WH007,DRV0144,VEH0079,2026-01-01,Tirunelveli,Processing,Delivered,584.59,12.24,81.68,85.52,3.84,1,47.76,Thursday,1,1,0,Medium,High,22.6,50.26,4.63,Light Rain,1,0,0,Moderate,0.047,0.955,Medium,2
ORD001892,CUST0749,WH006,DRV0188,VEH0186,2026-01-01,Salem,Dispatched,Delivered,234.36,6.41,54.66,48.86,0.0,0,36.56,Thursday,1,1,0,Medium,Low,22.44,77.49,2.69,Light Rain,1,0,0,Moderate,0.0,1.119,Low,1
ORD004005,CUST0672,WH010,DRV0036,VEH0074,2026-01-01,Trichy,Dispatched,Delivered,176.49,12.96,84.14,81.78,0.0,0,13.62,Thursday,1,1,0,Medium,Low,28.95,93.45,10.9,Rain,1,0,1,Moderate,0.0,1.029,Low,1
ORD000967,CUST0105,WH007,DRV0008,VEH0089,2026-01-01,Coimbatore,Dispatched,Delivered,292.29,13.19,77.48,77.01,0.0,0,22.16,Thursday,1,1,0,Medium,Medium,23.75,78.85,13.0,Rain,1,0,0,Moderate,0.0,1.006,Low,1
ORD001711,CUST0306,WH002,DRV0110,VEH0034,2026-01-01,Vellore,Processing,Delivered,268.12,5.78,40.68,44.92,4.24,1,46.39,Thursday,1,1,0,Medium,Medium,35.1,72.8,5.28,Light Rain,1,0,0,Moderate,0.104,0.906,Medium,2
ORD000964,CUST0258,WH001,DRV0091,VEH0023,2026-01-01,Vellore,Processing,Delivered,383.83,12.07,106.01,100.93,0.0,0,31.8,Thursday,1,1,0,Medium,Medium,35.1,72.8,5.28,Light Rain,1,0,0,Moderate,0.0,1.05,Low,1
ORD001553,CUST0515,WH006,DRV0013,VEH0128,2026-01-01,Trichy,Dispatched,Delivered,100.0,26.34,125.51,128.86,3.35,1,3.8,Thursday,1,1,0,Long,Low,28.95,93.45,10.9,Rain,1,0,1,Moderate,0.027,0.974,Medium,2
ORD002690,CUST0237,WH009,DRV0021,VEH0064,2026-01-01,Madurai,Dispatched,Delivered,108.05,2.82,39.84,44.74,4.9,1,38.32,Thursday,1,1,0,Short,Low,29.52,91.48,0.96,Cloudy,1,0,1,Moderate,0.123,0.89,Medium,2
ORD002240,CUST0170,WH002,DRV0037,VEH0181,2026-01-01,Chennai,Dispatched,Delivered,261.59,6.48,59.09,51.69,0.0,0,40.37,Thursday,1,1,0,Medium,Medium,26.46,83.67,9.34,Rain,1,0,1,Moderate,0.0,1.143,Low,1
ORD002182,CUST0192,WH006,DRV0023,VEH0148,2026-01-01,Tirunelveli,Confirmed,Delivered,126.03,21.1,100.81,98.79,0.0,0,5.97,Thursday,1,1,0,Long,Low,22.6,50.26,4.63,Light Rain,1,0,0,Moderate,0.0,1.02,Low,1
ORD000736,CUST0301,WH009,DRV0078,VEH0140,2026-01-01,Salem,Dispatched,Delivered,100.0,19.5,96.0,87.66,0.0,0,5.13,Thursday,1,1,0,Long,Low,22.44,77.49,2.69,Light Rain,1,0,0,Moderate,0.0,1.095,Low,1
