vehicle_id,timestamp,date,hour,day_of_week,region,latitude,longitude,speed_kmph,heading,vehicle_status,ignition_status,signal_quality,is_moving,is_low_signal
VEH0001,2026-08-01 08:28:54,2026-08-01,8,Saturday,Tirunelveli,8.722217,77.721663,25.13,233.14,Moving,On,Good,1,0
VEH0001,2026-08-01 15:37:27,2026-08-01,15,Saturday,Chennai,13.025233,80.27941,29.35,200.68,Moving,On,Excellent,1,0
VEH0001,2026-08-01 17:02:17,2026-08-01,17,Saturday,Vellore,12.881859,79.102059,29.25,139.34,Moving,On,Excellent,1,0
VEH0001,2026-08-01 17:31:18,2026-08-01,17,Saturday,Trichy,10.849076,78.647603,81.98,145.95,Moving,On,Good,1,0
VEH0001,2026-08-02 01:42:21,2026-08-02,1,Sunday,Erode,11.377049,77.688191,45.07,75.01,Moving,On,Good,1,0
VEH0001,2026-08-02 04:02:58,2026-08-02,4,Sunday,Vellore,12.99587,79.163302,50.53,311.97,Moving,On,Excellent,1,0
VEH0001,2026-08-02 17:17:35,2026-08-02,17,Sunday,Coimbatore,11.117271,76.996123,27.56,209.87,Moving,On,Good,1,0
VEH0001,2026-08-02 17:33:12,2026-08-02,17,Sunday,Salem,11.613448,78.126614,51.7,232.62,Moving,On,Excellent,1,0
VEH0001,2026-08-02 21:09:43,2026-08-02,21,Sunday,Erode,11.318261,77.708345,42.99,254.72,Moving,On,Good,1,0
VEH0001,2026-08-03 04:04:53,2026-08-03,4,Monday,Madurai,9.963896,78.121958,45.03,116.41,Moving,On,Excellent,1,0
VEH0001,2026-08-03 04:36:08,2026-08-03,4,Monday,Trichy,10.788249,78.736495,55.32,259.71,Moving,On,Good,1,0
VEH0001,2026-08-03 19:22:15,2026-08-03,19,Monday,Vellore,12.909505,79.116295,71.54,272.59,Moving,On,Good,1,0
VEH0001,2026-08-04 03:06:31,2026-08-04,3,Tuesday,Trichy,10.837996,78.632948,48.67,160.28,Moving,On,Fair,1,0
VEH0001,2026-08-04 12:53:33,2026-08-04,12,Tuesday,Tirunelveli,8.717803,77.770013,29.65,194.88,Moving,On,Good,1,0
VEH0001,2026-08-05 00:47:49,2026-08-05,0,Wednesday,Tirunelveli,8.730732,77.796545,34.16,356.43,Moving,On,Excellent,1,0
VEH0001,2026-08-05 07:58:36,2026-08-05,7,Wednesday,Chennai,13.054443,80.285508,59.87,7.41,Moving,On,Excellent,1,0
VEH0001,2026-08-05 20:33:02,2026-08-05,20,Wednesday,Chennai,13.040621,80.234169,22.68,136.37,Moving,On,Excellent,1,0
VEH0001,2026-08-06 09:34:16,2026-08-06,9,Thursday,Madurai,9.857378,78.148375,41.33,249.26,Moving,On,Fair,1,0
VEH0001,2026-08-06 12:37:17,2026-08-06,12,Thursday,Chennai,13.096499,80.287893,56.75,66.8,Moving,On,Poor,1,1
