order_id,customer_id,warehouse_id,driver_id,vehicle_id,order_date,region,order_status,delivery_status,order_value,delivery_distance_km,promised_delivery_time_min,actual_delivery_time_min,delivery_delay_min,is_delayed,delivery_per_km_value
ORD000001,CUST0305,WH003,DRV0019,VEH0070,2026-02-05,Vellore,Dispatched,Delayed,250.35,8.62,42.45,42.37,0.0,1,29.04
ORD000002,CUST0876,WH007,DRV0162,VEH0175,2026-08-13,Tirunelveli,Dispatched,Delayed,269.63,3.15,37.94,37.52,0.0,1,85.6
ORD000003,CUST0356,WH004,DRV0142,VEH0053,2026-08-06,Vellore,Confirmed,Delivered,858.67,26.25,167.62,176.28,8.66,1,32.71
ORD000004,CUST0773,WH004,DRV0022,VEH0173,2026-08-05,Coimbatore,Dispatched,Delivered,100.0,5.94,39.76,34.79,0.0,0,16.84
ORD000005,CUST0480,WH007,DRV0141,VEH0199,2026-06-07,Coimbatore,Dispatched,In Transit,100.0,25.85,106.94,105.14,0.0,0,3.87
ORD000006,CUST0779,WH007,DRV0123,VEH0057,2026-05-09,Vellore,Dispatched,Delayed,261.56,13.22,107.4,96.18,0.0,1,19.79
ORD000007,CUST0854,WH001,DRV0192,VEH0198,2026-08-27,Erode,Confirmed,Delivered,744.03,17.25,87.75,85.94,0.0,0,43.13
ORD000008,CUST0747,WH001,DRV0056,VEH0040,2026-01-20,Vellore,Processing,Delivered,114.17,11.21,43.84,48.34,4.5,1,10.18
ORD000009,CUST0040,WH006,DRV0200,VEH0003,2026-08-11,Coimbatore,Processing,Delivered,882.91,11.77,77.08,67.47,0.0,0,75.01
ORD000010,CUST0476,WH002,DRV0042,VEH0049,2026-07-04,Salem,Processing,In Transit,197.51,7.38,58.07,52.05,0.0,0,26.76
ORD000011,CUST0114,WH003,DRV0066,VEH0014,2026-08-21,Trichy,Cancelled,Cancelled,100.0,6.01,,,,0,16.64
ORD000012,CUST0326,WH002,DRV0191,VEH0125,2026-05-24,Trichy,Dispatched,Delivered,509.7,5.79,48.48,52.53,4.05,1,88.03
ORD000013,CUST0679,WH002,DRV0170,VEH0148,2026-05-13,Chennai,Confirmed,Delayed,134.11,21.98,81.97,89.41,7.44,1,6.1
ORD000014,CUST0838,WH008,DRV0034,VEH0194,2026-05-02,Trichy,Dispatched,Delivered,242.63,12.66,56.65,51.89,0.0,0,19.17
ORD000015,CUST0622,WH008,DRV0029,VEH0025,2026-01-06,Coimbatore,Cancelled,Cancelled,100.0,6.2,,,,0,16.13
ORD000016,CUST0532,WH006,DRV0154,VEH0004,2026-03-12,Vellore,Dispatched,Delivered,111.1,12.0,73.9,70.96,0.0,0,9.26
ORD000017,CUST0230,WH003,DRV0151,VEH0169,2026-02-02,Tirunelveli,Dispatched,In Transit,100.0,3.39,25.8,24.76,0.0,0,29.5
ORD000018,CUST0388,WH005,DRV0036,VEH0063,2026-04-10,Trichy,Processing,Delivered,100.0,6.11,29.23,32.31,3.08,1,16.37
ORD000019,CUST0985,WH007,DRV0118,VEH0176,2026-08-22,Salem,Confirmed,Delivered,193.2,23.33,119.05,112.16,0.0,0,8.28
ORD000020,CUST0781,WH005,DRV0009,VEH0055,2026-04-12,Erode,Dispatched,Delivered,262.02,7.92,39.84,37.53,0.0,0,33.08
ORD000021,CUST0305,WH007,DRV0085,VEH0002,2026-08-10,Tirunelveli,Cancelled,Cancelled,127.05,21.57,,,,0,5.89
ORD000022,CUST0076,WH010,DRV0042,VEH0023,2026-07-30,Erode,Dispatched,In Transit,100.0,10.62,85.11,85.54,0.43,1,9.42
ORD000023,CUST0265,WH007,DRV0067,VEH0108,2026-02-19,Trichy,Processing,In Transit,100.0,17.32,127.05,115.52,0.0,0,5.77
ORD000024,CUST0315,WH004,DRV0007,VEH0176,2026-07-09,Coimbatore,Processing,Delayed,230.8,5.11,57.5,57.1,0.0,1,45.17
ORD000025,CUST0628,WH010,DRV0023,VEH0119,2026-05-22,Trichy,Dispatched,Delivered,194.8,15.7,118.14,114.1,0.0,0,12.41
ORD000026,CUST0515,WH010,DRV0160,VEH0015,2026-06-21,Tirunelveli,Dispatched,Delivered,233.28,2.22,9.74,10.0,0.26,1,105.08
ORD000027,CUST0992,WH006,DRV0023,VEH0051,2026-07-21,Chennai,Dispatched,Delivered,499.18,8.41,53.85,60.18,6.33,1,59.36
ORD000028,CUST0523,WH009,DRV0016,VEH0152,2026-05-02,Trichy,Dispatched,Delivered,263.48,24.1,127.84,111.22,0.0,0,10.93
ORD000029,CUST0261,WH004,DRV0069,VEH0020,2026-01-20,Chennai,Dispatched,Delivered,236.48,11.51,72.98,72.3,0.0,0,20.55
ORD000030,CUST0931,WH010,DRV0013,VEH0056,2026-02-15,Vellore,Processing,Delivered,845.28,5.91,54.62,57.44,2.82,1,143.03
ORD000031,CUST0369,WH001,DRV0010,VEH0038,2026-04-17,Erode,Confirmed,Delivered,151.62,22.87,103.93,97.67,0.0,0,6.63
ORD000032,CUST0664,WH008,DRV0059,VEH0025,2026-03-27,Madurai,Processing,Delivered,853.54,36.79,273.62,264.05,0.0,0,23.2
ORD000033,CUST0710,WH004,DRV0002,VEH0086,2026-04-25,Salem,Dispatched,Delivered,457.38,9.53,54.67,59.43,4.76,1,47.99
ORD000034,CUST0082,WH008,DRV0180,VEH0180,2026-02-10,Chennai,Confirmed,Delivered,149.36,3.56,29.02,26.07,0.0,0,41.96
ORD000035,CUST0637,WH009,DRV0129,VEH0179,2026-03-17,Tirunelveli,Cancelled,Cancelled,305.87,11.62,,,,0,26.32
ORD000036,CUST0230,WH008,DRV0198,VEH0175,2026-01-08,Madurai,Dispatched,Delivered,157.61,17.99,94.76,91.85,0.0,0,8.76
ORD000037,CUST0646,WH001,DRV0054,VEH0068,2026-04-24,Madurai,Dispatched,Delayed,100.0,9.88,91.38,91.99,0.61,1,10.12
ORD000038,CUST0598,WH009,DRV0019,VEH0080,2026-05-06,Coimbatore,Dispatched,Delivered,180.33,2.42,25.12,26.57,1.45,1,74.52
ORD000039,CUST0298,WH005,DRV0097,VEH0064,2026-07-14,Madurai,Dispatched,Delivered,100.0,16.86,122.98,112.01,0.0,0,5.93
ORD000040,CUST0555,WH008,DRV0028,VEH0171,2026-03-21,Salem,Confirmed,In Transit,210.91,6.81,47.29,45.17,0.0,0,30.97
ORD000041,CUST0910,WH006,DRV0133,VEH0071,2026-02-22,Salem,Dispatched,Delivered,305.0,8.33,56.43,52.35,0.0,0,36.61
ORD000042,CUST0716,WH007,DRV0076,VEH0088,2026-03-05,Salem,Dispatched,Delivered,157.43,3.68,39.85,40.9,1.05,1,42.78
ORD000043,CUST0281,WH003,DRV0158,VEH0057,2026-05-14,Salem,Dispatched,Delivered,210.63,1.88,45.65,40.3,0.0,0,112.04
ORD000044,CUST0468,WH009,DRV0019,VEH0167,2026-05-29,Erode,Processing,Delivered,208.38,4.99,39.02,40.93,1.91,1,41.76
ORD000045,CUST0530,WH009,DRV0104,VEH0119,2026-06-12,Coimbatore,Confirmed,Delivered,313.82,7.84,57.38,56.85,0.0,0,40.03
ORD000046,CUST0408,WH010,DRV0042,VEH0029,2026-01-27,Trichy,Dispatched,Delivered,192.13,7.73,38.65,34.2,0.0,0,24.86
ORD000047,CUST0703,WH002,DRV0153,VEH0154,2026-05-01,Erode,Dispatched,Delivered,147.74,27.28,127.59,145.82,18.23,1,5.42
ORD000048,CUST0975,WH004,DRV0035,VEH0142,2026-08-13,Vellore,Dispatched,Delivered,304.69,5.44,37.23,42.18,4.95,1,56.01
ORD000049,CUST0223,WH004,DRV0009,VEH0064,2026-04-12,Tirunelveli,Dispatched,Delivered,200.95,20.44,103.15,89.83,0.0,0,9.83
ORD000050,CUST0874,WH001,DRV0039,VEH0047,2026-01-26,Erode,Dispatched,In Transit,100.0,12.38,89.67,78.56,0.0,0,8.08
ORD000051,CUST0769,WH004,DRV0184,VEH0020,2026-04-09,Erode,Dispatched,Delivered,144.36,29.75,192.88,178.34,0.0,0,4.85
ORD000052,CUST0015,WH003,DRV0038,VEH0007,2026-03-27,Tirunelveli,Dispatched,Delivered,129.52,10.73,85.61,86.02,0.41,1,12.07
ORD000053,CUST0694,WH002,DRV0015,VEH0094,2026-01-11,Chennai,Processing,In Transit,199.51,2.6,20.24,20.2,0.0,0,76.73
ORD000054,CUST0546,WH006,DRV0109,VEH0195,2026-03-27,Coimbatore,Dispatched,Delivered,186.05,10.11,72.62,78.33,5.71,1,18.4
ORD000055,CUST0180,WH003,DRV0174,VEH0128,2026-04-28,Tirunelveli,Dispatched,Delivered,100.0,1.94,9.8,10.0,0.2,1,51.55
ORD000056,CUST0002,WH010,DRV0165,VEH0114,2026-04-19,Coimbatore,Processing,Delivered,100.0,4.92,41.34,42.21,0.87,1,20.33
ORD000057,CUST0932,WH009,DRV0090,VEH0053,2026-02-26,Chennai,Processing,Delivered,100.0,10.21,57.32,66.59,9.27,1,9.79
ORD000058,CUST0151,WH009,DRV0125,VEH0193,2026-08-17,Tirunelveli,Confirmed,Delivered,189.03,10.38,102.55,104.01,1.46,1,18.21
ORD000059,CUST0920,WH008,DRV0060,VEH0158,2026-03-03,Chennai,Dispatched,In Transit,364.31,20.01,120.97,121.71,0.74,1,18.21
ORD000060,CUST0110,WH008,DRV0062,VEH0066,2026-04-17,Trichy,Confirmed,Delivered,100.0,14.88,105.69,100.68,0.0,0,6.72
ORD000061,CUST0928,WH002,DRV0031,VEH0143,2026-02-02,Trichy,Dispatched,Delivered,117.11,27.97,217.19,216.12,0.0,0,4.19
ORD000062,CUST0307,WH006,DRV0030,VEH0127,2026-06-17,Salem,Processing,Delivered,175.65,19.99,124.27,112.11,0.0,0,8.79
ORD000063,CUST0814,WH004,DRV0066,VEH0070,2026-01-02,Vellore,Processing,Delivered,100.0,18.47,65.45,68.16,2.71,1,5.41
ORD000064,CUST0397,WH010,DRV0007,VEH0198,2026-05-12,Tirunelveli,Dispatched,Delivered,191.87,34.93,196.78,202.26,5.48,1,5.49
ORD000065,CUST0865,WH002,DRV0158,VEH0092,2026-03-23,Trichy,Confirmed,Delivered,274.84,19.39,166.27,162.78,0.0,0,14.17
ORD000066,CUST0618,WH002,DRV0161,VEH0120,2026-03-08,Trichy,Dispatched,Delivered,110.84,25.1,134.44,147.6,13.16,1,4.42
ORD000067,CUST0767,WH010,DRV0112,VEH0185,2026-06-14,Chennai,Dispatched,Delivered,224.29,3.4,34.22,35.35,1.13,1,65.97
ORD000068,CUST0014,WH007,DRV0103,VEH0153,2026-05-09,Vellore,Dispatched,Delivered,168.27,9.13,80.64,76.37,0.0,0,18.43
ORD000069,CUST0273,WH001,DRV0111,VEH0023,2026-02-12,Vellore,Confirmed,Delivered,100.0,14.48,59.02,60.62,1.6,1,6.91
ORD000070,CUST0378,WH008,DRV0038,VEH0140,2026-05-25,Madurai,Dispatched,In Transit,165.41,11.84,69.07,61.56,0.0,0,13.97
ORD000071,CUST0656,WH005,DRV0147,VEH0176,2026-04-19,Salem,Dispatched,Delivered,243.92,6.64,78.9,76.26,0.0,0,36.73
ORD000072,CUST0928,WH010,DRV0137,VEH0112,2026-08-06,Salem,Dispatched,Delivered,454.38,18.61,91.6,102.22,10.62,1,24.42
ORD000073,CUST0207,WH008,DRV0086,VEH0138,2026-06-10,Coimbatore,Dispatched,Delivered,527.82,21.44,76.95,77.24,0.29,1,24.62
ORD000074,CUST0619,WH002,DRV0160,VEH0145,2026-03-04,Trichy,Dispatched,Delivered,125.34,10.67,74.76,69.26,0.0,0,11.75
ORD000075,CUST0247,WH001,DRV0158,VEH0180,2026-07-19,Trichy,Dispatched,Delivered,120.52,9.44,56.05,53.74,0.0,0,12.77
ORD000076,CUST0735,WH002,DRV0134,VEH0119,2026-08-25,Chennai,Dispatched,Delivered,186.09,7.97,65.15,58.4,0.0,0,23.35
ORD000077,CUST0780,WH006,DRV0189,VEH0130,2026-01-07,Trichy,Processing,Delivered,127.39,19.1,118.6,110.33,0.0,0,6.67
ORD000078,CUST0737,WH004,DRV0165,VEH0188,2026-06-29,Coimbatore,Processing,In Transit,398.8,9.32,47.64,54.85,7.21,1,42.79
ORD000079,CUST0387,WH008,DRV0079,VEH0185,2026-03-24,Chennai,Processing,Delivered,193.53,11.6,70.13,79.35,9.22,1,16.68
