date,location,latitude,longitude,temperature_c,humidity_pct,rainfall_mm,weather_condition,is_rainy,heavy_rain_flag,high_humidity_flag,weather_risk
2026-01-01,Chennai,13.08,80.27,26.46,83.67,9.34,Rain,1,0,1,Moderate
2026-01-01,Coimbatore,11.02,76.96,23.75,78.85,13.0,Rain,1,0,0,Moderate
2026-01-01,Erode,11.34,77.72,28.84,58.44,4.9,Light Rain,1,0,0,Moderate
2026-01-01,Madurai,9.93,78.12,29.52,91.48,0.96,Cloudy,1,0,1,Moderate
2026-01-01,Salem,11.66,78.15,22.44,77.49,2.69,Light Rain,1,0,0,Moderate
2026-01-01,Tirunelveli,8.71,77.76,22.6,50.26,4.63,Light Rain,1,0,0,Moderate
2026-01-01,Trichy,10.79,78.7,28.95,93.45,10.9,Rain,1,0,1,Moderate
2026-01-01,Vellore,12.92,79.13,35.1,72.8,5.28,Light Rain,1,0,0,Moderate
2026-01-02,Chennai,13.08,80.27,30.92,87.92,2.01,Light Rain,1,0,1,Moderate
2026-01-02,Coimbatore,11.02,76.96,30.36,67.62,2.16,Light Rain,1,0,0,Moderate
2026-01-02,Erode,11.34,77.72,27.72,66.62,4.93,Light Rain,1,0,0,Moderate
2026-01-02,Madurai,9.93,78.12,30.47,70.26,2.06,Light Rain,1,0,0,Moderate
2026-01-02,Salem,11.66,78.15,29.3,67.22,1.22,Clear,1,0,0,Moderate
2026-01-02,Tirunelveli,8.71,77.76,29.32,83.8,0.64,Cloudy,1,0,1,Moderate
2026-01-02,Trichy,10.79,78.7,23.89,53.55,1.09,Clear,1,0,0,Moderate
2026-01-02,Vellore,12.92,79.13,31.77,62.13,9.02,Rain,1,0,0,Moderate
2026-01-03,Chennai,13.08,80.27,28.12,60.89,0.71,Clear,1,0,0,Moderate
2026-01-03,Coimbatore,11.02,76.96,29.47,47.55,3.65,Light Rain,1,0,0,Moderate
2026-01-03,Erode,11.34,77.72,28.92,69.79,3.1,Light Rain,1,0,0,Moderate
2026-01-03,Madurai,9.93,78.12,31.82,65.24,9.43,Rain,1,0,0,Moderate
2026-01-03,Salem,11.66,78.15,32.56,73.11,4.19,Light Rain,1,0,0,Moderate
2026-01-03,Tirunelveli,8.71,77.76,29.22,60.4,1.2,Clear,1,0,0,Moderate
2026-01-03,Trichy,10.79,78.7,25.2,52.07,5.7,Light Rain,1,0,0,Moderate
2026-01-03,Vellore,12.92,79.13,26.17,57.91,2.23,Light Rain,1,0,0,Moderate
2026-01-04,Chennai,13.08,80.27,32.31,65.44,6.09,Light Rain,1,0,0,Moderate
2026-01-04,Coimbatore,11.02,76.96,23.73,75.96,2.6,Light Rain,1,0,0,Moderate
2026-01-04,Erode,11.34,77.72,31.47,58.43,11.99,Rain,1,0,0,Moderate
2026-01-04,Madurai,9.93,78.12,30.97,64.06,4.83,Light Rain,1,0,0,Moderate
2026-01-04,Salem,11.66,78.15,30.98,85.77,4.19,Light Rain,1,0,1,Moderate
2026-01-04,Tirunelveli,8.71,77.76,28.73,79.89,0.92,Clear,1,0,0,Moderate
2026-01-04,Trichy,10.79,78.7,31.87,77.28,2.64,Light Rain,1,0,0,Moderate
2026-01-04,Vellore,12.92,79.13,28.98,41.15,6.32,Light Rain,1,0,0,Moderate
2026-01-05,Chennai,13.08,80.27,30.31,77.54,7.98,Light Rain,1,0,0,Moderate
2026-01-05,Coimbatore,11.02,76.96,28.21,82.87,12.58,Rain,1,0,1,Moderate
2026-01-05,Erode,11.34,77.72,31.13,86.73,12.11,Rain,1,0,1,Moderate
2026-01-05,Madurai,9.93,78.12,24.25,73.69,8.31,Rain,1,0,0,Moderate
2026-01-05,Salem,11.66,78.15,27.93,55.68,0.58,Clear,1,0,0,Moderate
2026-01-05,Tirunelveli,8.71,77.76,28.41,57.48,4.22,Light Rain,1,0,0,Moderate
2026-01-05,Trichy,10.79,78.7,34.55,66.23,1.49,Clear,1,0,0,Moderate
2026-01-05,Vellore,12.92,79.13,29.98,54.16,10.93,Rain,1,0,0,Moderate
2026-01-06,Chennai,13.08,80.27,29.26,69.79,0.83,Clear,1,0,0,Moderate
2026-01-06,Coimbatore,11.02,76.96,33.78,85.91,2.99,Light Rain,1,0,1,Moderate
2026-01-06,Erode,11.34,77.72,31.55,87.88,0.64,Cloudy,1,0,1,Moderate
2026-01-06,Madurai,9.93,78.12,24.01,75.63,8.06,Rain,1,0,0,Moderate
2026-01-06,Salem,11.66,78.15,27.95,81.22,8.17,Rain,1,0,1,Moderate
2026-01-06,Tirunelveli,8.71,77.76,25.39,53.24,6.41,Light Rain,1,0,0,Moderate
2026-01-06,Trichy,10.79,78.7,30.84,57.5,10.69,Rain,1,0,0,Moderate
2026-01-06,Vellore,12.92,79.13,30.05,64.76,4.74,Light Rain,1,0,0,Moderate
2026-01-07,Chennai,13.08,80.27,30.43,70.02,1.6,Clear,1,0,0,Moderate
2026-01-07,Coimbatore,11.02,76.96,22.82,44.86,0.24,Clear,1,0,0,Moderate
2026-01-07,Erode,11.34,77.72,30.15,68.32,14.24,Rain,1,0,0,Moderate
2026-01-07,Madurai,9.93,78.12,24.99,71.78,2.44,Light Rain,1,0,0,Moderate
2026-01-07,Salem,11.66,78.15,29.14,86.54,10.42,Rain,1,0,1,Moderate
2026-01-07,Tirunelveli,8.71,77.76,25.44,64.57,5.22,Light Rain,1,0,0,Moderate
2026-01-07,Trichy,10.79,78.7,28.69,75.3,9.87,Rain,1,0,0,Moderate
2026-01-07,Vellore,12.92,79.13,31.27,55.11,1.89,Clear,1,0,0,Moderate
2026-01-08,Chennai,13.08,80.27,31.72,99.22,13.63,Rain,1,0,1,Moderate
2026-01-08,Coimbatore,11.02,76.96,26.74,91.21,0.28,Cloudy,1,0,1,Moderate
2026-01-08,Erode,11.34,77.72,32.9,55.94,2.15,Light Rain,1,0,0,Moderate
2026-01-08,Madurai,9.93,78.12,27.96,47.8,9.04,Rain,1,0,0,Moderate
2026-01-08,Salem,11.66,78.15,26.52,69.31,1.59,Clear,1,0,0,Moderate
2026-01-08,Tirunelveli,8.71,77.76,29.29,89.19,3.14,Light Rain,1,0,1,Moderate
2026-01-08,Trichy,10.79,78.7,26.22,87.76,1.27,Cloudy,1,0,1,Moderate
2026-01-08,Vellore,12.92,79.13,31.6,48.29,5.47,Light Rain,1,0,0,Moderate
2026-01-09,Chennai,13.08,80.27,27.61,55.03,3.1,Light Rain,1,0,0,Moderate
2026-01-09,Coimbatore,11.02,76.96,31.39,72.73,5.36,Light Rain,1,0,0,Moderate
2026-01-09,Erode,11.34,77.72,30.2,71.06,3.13,Light Rain,1,0,0,Moderate
