event_id,order_id,driver_id,vehicle_id,event_timestamp,region,event_type,delivery_status,delay_minutes,source
EVT0000001,ORD001345,DRV0048,VEH0080,2026-08-30 10:54:00,Tirunelveli,OUT_FOR_DELIVERY,Out for Delivery,0,GPS Device
EVT0000002,ORD000109,DRV0141,VEH0172,2026-08-27 19:25:00,Erode,TRANSIT,In Transit,0,Driver App
EVT0000003,ORD004912,DRV0086,VEH0104,2026-08-03 16:49:00,Tirunelveli,TRANSIT,In Transit,0,Driver App
EVT0000004,ORD001897,DRV0190,VEH0054,2026-08-10 14:47:00,Trichy,OUT_FOR_DELIVERY,Out for Delivery,0,Warehouse System
EVT0000005,ORD002450,DRV0104,VEH0167,2026-08-26 10:34:00,Erode,OUT_FOR_DELIVERY,Out for Delivery,0,Driver App
EVT0000006,ORD003637,DRV0147,VEH0093,2026-08-09 11:16:00,Trichy,DELIVERY_FAILED,Failed,176,Driver App
EVT0000007,ORD000572,DRV0017,VEH0112,2026-08-04 11:29:00,Tirunelveli,OUT_FOR_DELIVERY,Out for Delivery,0,GPS Device
EVT0000008,ORD002829,DRV0029,VEH0025,2026-08-17 18:57:00,Erode,DELIVERED,Delivered,0,GPS Device
EVT0000009,ORD004075,DRV0034,VEH0034,2026-08-09 00:40:00,Erode,DELIVERED,Delivered,0,Warehouse System
EVT0000010,ORD002623,DRV0009,VEH0087,2026-08-09 11:19:00,Erode,TRANSIT,In Transit,0,Warehouse System
EVT0000011,ORD003280,DRV0108,VEH0004,2026-08-08 14:41:00,Erode,OUT_FOR_DELIVERY,Out for Delivery,0,GPS Device
EVT0000012,ORD000703,DRV0183,VEH0111,2026-08-28 20:20:00,Tirunelveli,OUT_FOR_DELIVERY,Out for Delivery,0,Driver App
EVT0000013,ORD003810,DRV0146,VEH0082,2026-08-25 22:15:00,Salem,TRANSIT,In Transit,0,GPS Device
EVT0000014,ORD004356,DRV0114,VEH0023,2026-08-20 12:42:00,Vellore,DELIVERY_FAILED,Failed,127,Mobile App
EVT0000015,ORD000718,DRV0124,VEH0122,2026-08-06 21:32:00,Salem,DELAYED,Delayed,57,Driver App
EVT0000016,ORD000727,DRV0148,VEH0024,2026-08-03 04:56:00,Erode,DELIVERED,Delivered,0,Mobile App
EVT0000017,ORD003128,DRV0182,VEH0186,2026-08-11 12:11:00,Tirunelveli,TRANSIT,In Transit,0,Driver App
EVT0000018,ORD002119,DRV0030,VEH0160,2026-08-24 11:22:00,Vellore,DELIVERED,Delivered,0,GPS Device
EVT0000019,ORD003920,DRV0123,VEH0115,2026-08-14 21:39:00,Madurai,DELIVERED,Delivered,0,Mobile App
EVT0000020,ORD002326,DRV0122,VEH0030,2026-08-25 17:29:00,Vellore,OUT_FOR_DELIVERY,Out for Delivery,0,Mobile App
EVT0000021,ORD001474,DRV0034,VEH0151,2026-08-24 14:37:00,Tirunelveli,OUT_FOR_DELIVERY,Out for Delivery,0,GPS Device
EVT0000022,ORD002123,DRV0198,VEH0084,2026-08-31 04:25:00,Coimbatore,DELIVERED,Delivered,0,Mobile App
EVT0000023,ORD001112,DRV0117,VEH0036,2026-08-01 21:28:00,Tirunelveli,DELAYED,Delayed,76,Warehouse System
EVT0000024,ORD004428,DRV0101,VEH0193,2026-08-01 01:03:00,Vellore,DELIVERED,Delivered,0,GPS Device
EVT0000025,ORD002976,DRV0066,VEH0159,2026-08-29 19:52:00,Vellore,DELIVERED,Delivered,0,GPS Device
EVT0000026,ORD002570,DRV0057,VEH0126,2026-08-03 08:04:00,Chennai,PICKUP,Picked Up,0,GPS Device
EVT0000027,ORD004512,DRV0023,VEH0051,2026-08-03 04:42:00,Madurai,TRANSIT,In Transit,0,Driver App
EVT0000028,ORD002833,DRV0128,VEH0027,2026-08-04 14:58:00,Erode,PICKUP,Picked Up,0,GPS Device
EVT0000029,ORD002261,DRV0142,VEH0174,2026-08-25 04:25:00,Coimbatore,TRANSIT,In Transit,0,GPS Device
EVT0000030,ORD000955,DRV0168,VEH0100,2026-08-23 23:19:00,Tirunelveli,DELAYED,Delayed,170,Driver App
EVT0000031,ORD004055,DRV0014,VEH0105,2026-08-11 09:12:00,Coimbatore,DELAYED,Delayed,66,Warehouse System
EVT0000032,ORD000843,DRV0099,VEH0129,2026-08-24 01:24:00,Vellore,DELIVERED,Delivered,0,GPS Device
EVT0000033,ORD004532,DRV0024,VEH0147,2026-08-19 13:17:00,Madurai,DELIVERED,Delivered,0,Warehouse System
EVT0000034,ORD002455,DRV0165,VEH0186,2026-08-17 07:27:00,Tirunelveli,OUT_FOR_DELIVERY,Out for Delivery,0,Warehouse System
EVT0000035,ORD001975,DRV0032,VEH0152,2026-08-16 08:27:00,Madurai,DELAYED,Delayed,113,Driver App
EVT0000036,ORD000434,DRV0078,VEH0024,2026-08-22 23:54:00,Chennai,OUT_FOR_DELIVERY,Out for Delivery,0,Driver App
EVT0000037,ORD003511,DRV0088,VEH0076,2026-08-07 19:08:00,Trichy,DELIVERED,Delivered,0,GPS Device
EVT0000038,ORD003795,DRV0032,VEH0127,2026-08-25 12:54:00,Erode,DELIVERED,Delivered,0,GPS Device
EVT0000039,ORD000325,DRV0069,VEH0130,2026-08-07 14:47:00,Madurai,DELIVERED,Delivered,0,Warehouse System
EVT0000040,ORD003586,DRV0025,VEH0153,2026-08-14 23:02:00,Tirunelveli,TRANSIT,In Transit,0,Driver App
EVT0000041,ORD003452,DRV0111,VEH0181,2026-08-22 09:25:00,Vellore,DELIVERED,Delivered,0,Warehouse System
EVT0000042,ORD003120,DRV0114,VEH0135,2026-08-18 18:14:00,Trichy,DELIVERED,Delivered,0,GPS Device
EVT0000043,ORD004892,DRV0058,VEH0044,2026-08-09 05:33:00,Vellore,DELIVERED,Delivered,0,Mobile App
EVT0000044,ORD000957,DRV0066,VEH0169,2026-08-27 02:35:00,Salem,OUT_FOR_DELIVERY,Out for Delivery,0,Warehouse System
EVT0000045,ORD001953,DRV0130,VEH0188,2026-08-13 20:02:00,Chennai,DELAYED,Delayed,87,Warehouse System
EVT0000046,ORD000543,DRV0184,VEH0005,2026-08-04 04:28:00,Madurai,DELIVERED,Delivered,0,Mobile App
EVT0000047,ORD000823,DRV0198,VEH0022,2026-08-24 00:16:00,Tirunelveli,DELIVERED,Delivered,0,Driver App
EVT0000048,ORD003764,DRV0163,VEH0017,2026-08-10 06:58:00,Erode,TRANSIT,In Transit,0,Driver App
EVT0000049,ORD002185,DRV0082,VEH0152,2026-08-11 16:54:00,Coimbatore,DELAYED,Delayed,131,Driver App
EVT0000050,ORD003228,DRV0152,VEH0017,2026-08-23 16:23:00,Erode,OUT_FOR_DELIVERY,Out for Delivery,0,Mobile App
EVT0000051,ORD000702,DRV0052,VEH0040,2026-08-12 09:58:00,Coimbatore,TRANSIT,In Transit,0,Warehouse System
EVT0000052,ORD001539,DRV0137,VEH0120,2026-08-20 07:05:00,Erode,DELIVERED,Delivered,0,Driver App
EVT0000053,ORD002508,DRV0100,VEH0081,2026-08-21 12:45:00,Salem,OUT_FOR_DELIVERY,Out for Delivery,0,Driver App
EVT0000054,ORD001444,DRV0106,VEH0024,2026-08-08 09:44:00,Salem,TRANSIT,In Transit,0,Warehouse System
EVT0000055,ORD002227,DRV0007,VEH0194,2026-08-28 22:43:00,Chennai,DELIVERED,Delivered,0,Warehouse System
EVT0000056,ORD003359,DRV0145,VEH0185,2026-08-26 02:19:00,Vellore,TRANSIT,In Transit,0,Driver App
EVT0000057,ORD001133,DRV0145,VEH0175,2026-08-05 05:37:00,Salem,TRANSIT,In Transit,0,Driver App
EVT0000058,ORD001233,DRV0026,VEH0054,2026-08-15 21:19:00,Erode,DELIVERED,Delivered,0,Driver App
EVT0000059,ORD003872,DRV0152,VEH0085,2026-08-23 07:57:00,Salem,OUT_FOR_DELIVERY,Out for Delivery,0,GPS Device
EVT0000060,ORD000033,DRV0148,VEH0103,2026-08-08 22:14:00,Tirunelveli,PICKUP,Picked Up,0,Warehouse System
EVT0000061,ORD003956,DRV0111,VEH0196,2026-08-30 19:43:00,Madurai,TRANSIT,In Transit,0,GPS Device
EVT0000062,ORD002626,DRV0024,VEH0189,2026-08-16 03:39:00,Erode,TRANSIT,In Transit,0,Driver App
EVT0000063,ORD001460,DRV0060,VEH0016,2026-08-26 20:01:00,Trichy,OUT_FOR_DELIVERY,Out for Delivery,0,Warehouse System
EVT0000064,ORD002752,DRV0003,VEH0174,2026-08-10 18:23:00,Vellore,DELIVERED,Delivered,0,Mobile App
EVT0000065,ORD002951,DRV0054,VEH0030,2026-08-01 12:40:00,Madurai,DELAYED,Delayed,74,GPS Device
EVT0000066,ORD002672,DRV0068,VEH0063,2026-08-17 02:45:00,Erode,DELIVERED,Delivered,0,GPS Device
EVT0000067,ORD000942,DRV0026,VEH0168,2026-08-06 18:20:00,Chennai,DELIVERED,Delivered,0,Driver App
EVT0000068,ORD004321,DRV0168,VEH0100,2026-08-05 03:58:00,Vellore,DELAYED,Delayed,17,GPS Device
EVT0000069,ORD000477,DRV0040,VEH0120,2026-08-30 12:48:00,Chennai,DELAYED,Delayed,67,Mobile App
EVT0000070,ORD004796,DRV0072,VEH0172,2026-08-30 22:15:00,Chennai,TRANSIT,In Transit,0,GPS Device
EVT0000071,ORD003556,DRV0167,VEH0166,2026-08-26 22:35:00,Erode,DELIVERED,Delivered,0,GPS Device
EVT0000072,ORD001852,DRV0068,VEH0128,2026-08-28 04:43:00,Chennai,DELAYED,Delayed,62,GPS Device
EVT0000073,ORD001909,DRV0188,VEH0063,2026-08-08 04:45:00,Coimbatore,TRANSIT,In Transit,0,Mobile App
EVT0000074,ORD003686,DRV0017,VEH0012,2026-08-18 13:09:00,Salem,DELIVERED,Delivered,0,Warehouse System
EVT0000075,ORD004036,DRV0190,VEH0106,2026-08-22 21:23:00,Tirunelveli,DELIVERED,Delivered,0,Mobile App
EVT0000076,ORD003356,DRV0198,VEH0120,2026-08-07 11:27:00,Erode,DELAYED,Delayed,37,Mobile App
EVT0000077,ORD002774,DRV0188,VEH0019,2026-08-31 06:34:00,Trichy,DELIVERED,Delivered,0,Warehouse System
EVT0000078,ORD002533,DRV0108,VEH0088,2026-08-12 10:06:00,Madurai,OUT_FOR_DELIVERY,Out for Delivery,0,GPS Device
EVT0000079,ORD000331,DRV0005,VEH0019,2026-08-07 21:19:00,Erode,PICKUP,Picked Up,0,Driver App
EVT0000080,ORD003714,DRV0019,VEH0186,2026-08-31 01:17:00,Erode,PICKUP,Picked Up,0,Warehouse System
EVT0000081,ORD000638,DRV0034,VEH0070,2026-08-02 05:44:00,Madurai,PICKUP,Picked Up,0,Driver App
EVT0000082,ORD002849,DRV0043,VEH0082,2026-08-10 14:37:00,Coimbatore,DELIVERED,Delivered,0,Warehouse System
EVT0000083,ORD004552,DRV0138,VEH0113,2026-08-19 15:06:00,Chennai,OUT_FOR_DELIVERY,Out for Delivery,0,GPS Device
EVT0000084,ORD002940,DRV0036,VEH0086,2026-08-31 17:20:00,Vellore,TRANSIT,In Transit,0,Warehouse System
EVT0000085,ORD002699,DRV0055,VEH0008,2026-08-12 19:50:00,Salem,DELIVERED,Delivered,0,GPS Device
EVT0000086,ORD001905,DRV0049,VEH0141,2026-08-14 19:36:00,Tirunelveli,DELIVERED,Delivered,0,GPS Device
EVT0000087,ORD002140,DRV0047,VEH0082,2026-08-29 12:50:00,Trichy,DELIVERED,Delivered,0,Driver App
EVT0000088,ORD004850,DRV0144,VEH0065,2026-08-13 04:16:00,Salem,DELIVERED,Delivered,0,Warehouse System
EVT0000089,ORD003611,DRV0115,VEH0065,2026-08-08 05:16:00,Salem,OUT_FOR_DELIVERY,Out for Delivery,0,Driver App
EVT0000090,ORD001516,DRV0133,VEH0116,2026-08-19 16:38:00,Tirunelveli,DELIVERED,Delivered,0,GPS Device
