vehicle_id,vehicle_type,driver_id,fuel_type,capacity_kg,manufacture_year,maintenance_status,vehicle_status,odometer_km
VEH0001,Refrigerated Truck,DRV0001,Petrol,3000,2024,Due Soon,Active,211054
VEH0002,Mini Truck,DRV0002,Petrol,1500,2019,Good,In Transit,160365
VEH0003,Van,DRV0003,Petrol,1000,2021,Good,Active,111911
VEH0004,Van,DRV0004,Electric,1000,2024,Good,Active,162541
VEH0005,Mini Truck,DRV0005,CNG,1500,2021,Due Soon,Idle,198714
VEH0006,Mini Truck,DRV0006,Petrol,2000,2019,Good,In Transit,239870
VEH0007,Van,DRV0007,CNG,750,2021,Maintenance Required,Idle,195264
VEH0008,Van,DRV0008,Diesel,750,2025,Good,Idle,141859
VEH0009,Van,DRV0009,Petrol,1000,2023,Due Soon,Active,130576
VEH0010,Mini Truck,DRV0010,CNG,1500,2024,Under Maintenance,In Transit,167650
VEH0011,Truck,DRV0011,CNG,3000,2020,Good,Active,143451
VEH0012,Truck,DRV0012,Diesel,2000,2023,Good,Active,167156
VEH0013,Refrigerated Truck,DRV0013,Diesel,2000,2024,Good,Idle,132897
VEH0014,Mini Truck,DRV0014,Diesel,1500,2018,Good,Active,80004
VEH0015,Mini Truck,DRV0015,Diesel,2000,2021,Good,Idle,115081
VEH0016,Van,DRV0016,Diesel,750,2025,Good,Active,49779
VEH0017,Refrigerated Truck,DRV0017,Petrol,3000,2021,Good,Active,249534
VEH0018,Truck,DRV0018,CNG,5000,2023,Good,In Transit,64521
VEH0019,Mini Truck,DRV0019,Electric,1500,2017,Good,Idle,241447
VEH0020,Van,DRV0020,Petrol,500,2019,Good,In Transit,85681
VEH0021,Mini Truck,DRV0021,Diesel,1000,2024,Good,Active,154071
VEH0022,Van,DRV0022,CNG,1000,2018,Good,Active,138915
VEH0023,Van,DRV0023,CNG,750,2022,Under Maintenance,Idle,230891
VEH0024,Mini Truck,DRV0024,CNG,1000,2024,Maintenance Required,Active,173256
VEH0025,Van,DRV0025,Diesel,750,2022,Good,In Transit,227515
VEH0026,Mini Truck,DRV0026,Electric,2000,2024,Maintenance Required,Active,231622
VEH0027,Truck,DRV0027,Diesel,5000,2023,Due Soon,Idle,170096
VEH0028,Van,DRV0028,Diesel,750,2017,Under Maintenance,In Transit,8312
VEH0029,Refrigerated Truck,DRV0029,Diesel,2000,2020,Good,Active,94223
VEH0030,Van,DRV0030,Diesel,1000,2019,Good,Active,115392
VEH0031,Truck,DRV0031,Electric,5000,2025,Good,Active,142770
VEH0032,Van,DRV0032,CNG,1000,2019,Good,Idle,107691
VEH0033,Mini Truck,DRV0033,CNG,1000,2021,Due Soon,Idle,239702
VEH0034,Mini Truck,DRV0034,Diesel,2000,2018,Good,Active,20056
VEH0035,Truck,DRV0035,Electric,2000,2024,Maintenance Required,In Transit,231955
VEH0036,Van,DRV0036,Diesel,750,2024,Good,In Transit,228046
VEH0037,Mini Truck,DRV0037,Petrol,2000,2025,Due Soon,Active,196679
VEH0038,Mini Truck,DRV0038,Petrol,2000,2021,Good,Active,41030
VEH0039,Van,DRV0039,CNG,1000,2017,Good,In Transit,208083
VEH0040,Van,DRV0040,Diesel,1000,2022,Good,Active,26371
VEH0041,Truck,DRV0041,Petrol,3000,2025,Good,In Transit,240922
VEH0042,Van,DRV0042,Diesel,500,2022,Good,Active,47519
VEH0043,Truck,DRV0043,Electric,3000,2025,Maintenance Required,Idle,9814
VEH0044,Mini Truck,DRV0044,Petrol,1500,2025,Good,Maintenance,219195
VEH0045,Van,DRV0045,CNG,750,2017,Due Soon,Idle,109002
VEH0046,Truck,DRV0046,Petrol,2000,2020,Maintenance Required,Active,120310
VEH0047,Truck,DRV0047,Diesel,3000,2025,Good,Active,106005
VEH0048,Van,DRV0048,Petrol,1000,2021,Good,Active,196765
VEH0049,Truck,DRV0049,CNG,3000,2017,Good,Active,96863
VEH0050,Van,DRV0050,CNG,500,2023,Good,In Transit,53999
VEH0051,Van,DRV0051,Diesel,500,2025,Due Soon,Active,106247
VEH0052,Van,DRV0052,Diesel,1000,2025,Good,Active,44149
VEH0053,Refrigerated Truck,DRV0053,CNG,3000,2018,Good,Maintenance,133279
VEH0054,Truck,DRV0054,CNG,5000,2017,Good,Maintenance,7906
VEH0055,Van,DRV0055,Diesel,750,2024,Maintenance Required,Active,115538
VEH0056,Van,DRV0056,Diesel,500,2017,Good,Idle,13524
VEH0057,Refrigerated Truck,DRV0057,Petrol,3000,2024,Due Soon,In Transit,152944
VEH0058,Truck,DRV0058,Petrol,3000,2020,Good,In Transit,18818
VEH0059,Mini Truck,DRV0059,Diesel,1500,2022,Good,Idle,98109
VEH0060,Van,DRV0060,Petrol,1000,2021,Maintenance Required,Active,127376
VEH0061,Mini Truck,DRV0061,Diesel,2000,2022,Due Soon,Active,80186
VEH0062,Van,DRV0062,Diesel,1000,2018,Good,In Transit,202733
VEH0063,Van,DRV0063,CNG,1000,2021,Good,Active,25204
VEH0064,Mini Truck,DRV0064,Petrol,1000,2018,Due Soon,In Transit,228618
VEH0065,Truck,DRV0065,Diesel,2000,2018,Due Soon,In Transit,174812
VEH0066,Mini Truck,DRV0066,Electric,1500,2022,Good,Active,15241
VEH0067,Van,DRV0067,Petrol,750,2019,Good,In Transit,103767
VEH0068,Van,DRV0068,Diesel,500,2019,Good,Active,155830
VEH0069,Van,DRV0069,Diesel,500,2023,Due Soon,In Transit,173345
VEH0070,Van,DRV0070,Petrol,750,2017,Maintenance Required,Active,75316
VEH0071,Mini Truck,DRV0071,CNG,2000,2020,Good,Active,18186
VEH0072,Refrigerated Truck,DRV0072,Diesel,2000,2022,Maintenance Required,Active,70389
VEH0073,Truck,DRV0073,Diesel,2000,2021,Due Soon,Maintenance,157045
VEH0074,Van,DRV0074,CNG,1000,2025,Good,In Transit,58523
VEH0075,Van,DRV0075,Diesel,500,2022,Good,In Transit,204970
VEH0076,Mini Truck,DRV0076,Petrol,1500,2019,Good,In Transit,98842
VEH0077,Refrigerated Truck,DRV0077,Diesel,2000,2021,Good,Active,158185
VEH0078,Truck,DRV0078,CNG,3000,2025,Good,Active,72515
VEH0079,Van,DRV0079,Diesel,1000,2017,Good,In Transit,170262
VEH0080,Van,DRV0080,Petrol,500,2021,Good,Active,163712
VEH0081,Van,DRV0081,Diesel,1000,2024,Due Soon,Active,106679
VEH0082,Mini Truck,DRV0082,CNG,1500,2019,Good,Maintenance,202448
VEH0083,Truck,DRV0083,Diesel,5000,2018,Good,In Transit,98465
VEH0084,Mini Truck,DRV0084,Diesel,1000,2020,Maintenance Required,In Transit,176627
VEH0085,Refrigerated Truck,DRV0085,Diesel,3000,2017,Maintenance Required,In Transit,91841
VEH0086,Truck,DRV0086,CNG,2000,2020,Good,Active,108112
VEH0087,Refrigerated Truck,DRV0087,Petrol,5000,2019,Good,Active,246967
VEH0088,Truck,DRV0088,Petrol,2000,2017,Good,Idle,106795
VEH0089,Van,DRV0089,Diesel,500,2025,Under Maintenance,Idle,197048
VEH0090,Refrigerated Truck,DRV0090,Diesel,3000,2023,Due Soon,In Transit,215369
VEH0091,Truck,DRV0091,Electric,5000,2022,Good,Active,198134
VEH0092,Van,DRV0092,CNG,750,2023,Maintenance Required,In Transit,65531
VEH0093,Mini Truck,DRV0093,Diesel,2000,2022,Due Soon,In Transit,118887
VEH0094,Truck,DRV0094,Diesel,3000,2024,Good,In Transit,153062
VEH0095,Van,DRV0095,CNG,750,2024,Good,Active,118677
VEH0096,Refrigerated Truck,DRV0096,Petrol,5000,2022,Good,In Transit,30915
VEH0097,Truck,DRV0097,Petrol,5000,2018,Good,In Transit,242511
VEH0098,Mini Truck,DRV0098,Petrol,2000,2022,Good,Maintenance,96700
VEH0099,Truck,DRV0099,CNG,5000,2023,Due Soon,Idle,117150
VEH0100,Truck,DRV0100,CNG,3000,2019,Maintenance Required,Active,246444
VEH0101,Mini Truck,DRV0101,Diesel,2000,2021,Good,Idle,248048
VEH0102,Van,DRV0102,Petrol,750,2019,Good,In Transit,44619
VEH0103,Mini Truck,DRV0103,Petrol,2000,2021,Good,In Transit,87456
VEH0104,Mini Truck,DRV0104,CNG,1500,2025,Due Soon,Active,95550
VEH0105,Van,DRV0105,Diesel,500,2018,Under Maintenance,In Transit,28453
VEH0106,Mini Truck,DRV0106,CNG,2000,2020,Good,In Transit,43202
VEH0107,Refrigerated Truck,DRV0107,Diesel,5000,2018,Good,In Transit,228556
VEH0108,Van,DRV0108,Diesel,750,2017,Maintenance Required,Idle,203414
VEH0109,Mini Truck,DRV0109,Petrol,1500,2017,Good,Idle,136551
VEH0110,Van,DRV0110,Petrol,750,2021,Due Soon,Idle,129122
VEH0111,Refrigerated Truck,DRV0111,Diesel,3000,2023,Good,Active,119287
VEH0112,Mini Truck,DRV0112,Petrol,1500,2022,Maintenance Required,Active,5357
VEH0113,Van,DRV0113,Diesel,1000,2019,Good,Active,79040
VEH0114,Van,DRV0114,Diesel,500,2025,Good,Active,107174
VEH0115,Van,DRV0115,Petrol,1000,2024,Good,Active,119798
VEH0116,Mini Truck,DRV0116,CNG,1000,2018,Due Soon,Idle,139221
VEH0117,Van,DRV0117,Diesel,1000,2020,Good,Active,47834
VEH0118,Van,DRV0118,Diesel,750,2017,Due Soon,Idle,106098
VEH0119,Van,DRV0119,Petrol,500,2022,Good,Active,207743
VEH0120,Mini Truck,DRV0120,Diesel,1000,2025,Good,Active,245908
VEH0121,Van,DRV0121,Electric,500,2023,Good,Active,232426
VEH0122,Van,DRV0122,Diesel,500,2021,Good,In Transit,137537
VEH0123,Van,DRV0123,Petrol,1000,2018,Due Soon,In Transit,121376
VEH0124,Mini Truck,DRV0124,Petrol,2000,2020,Good,Active,200471
VEH0125,Truck,DRV0125,Diesel,3000,2021,Good,In Transit,249277
VEH0126,Truck,DRV0126,CNG,3000,2017,Due Soon,Active,239407
VEH0127,Refrigerated Truck,DRV0127,Electric,2000,2018,Due Soon,Active,47223
VEH0128,Van,DRV0128,Electric,1000,2021,Due Soon,In Transit,107722
VEH0129,Mini Truck,DRV0129,Diesel,1000,2018,Good,Active,243744
VEH0130,Mini Truck,DRV0130,Diesel,1500,2024,Due Soon,In Transit,219035
VEH0131,Refrigerated Truck,DRV0131,Petrol,2000,2021,Good,Idle,38924
VEH0132,Mini Truck,DRV0132,CNG,2000,2020,Good,Active,47357
VEH0133,Truck,DRV0133,Diesel,5000,2024,Due Soon,In Transit,93293
VEH0134,Truck,DRV0134,CNG,3000,2019,Due Soon,In Transit,51842
VEH0135,Truck,DRV0135,CNG,2000,2018,Good,Active,135905
VEH0136,Mini Truck,DRV0136,Electric,2000,2018,Good,Active,178669
VEH0137,Van,DRV0137,Diesel,1000,2020,Good,In Transit,194441
VEH0138,Van,DRV0138,Diesel,1000,2017,Good,In Transit,242963
VEH0139,Van,DRV0139,Diesel,500,2017,Good,Maintenance,116770
VEH0140,Mini Truck,DRV0140,Diesel,2000,2020,Good,Maintenance,221506
VEH0141,Mini Truck,DRV0141,Electric,1000,2024,Under Maintenance,Active,62523
VEH0142,Truck,DRV0142,Diesel,2000,2025,Good,Idle,115218
VEH0143,Truck,DRV0143,Diesel,2000,2025,Good,Idle,187252
VEH0144,Refrigerated Truck,DRV0144,Diesel,2000,2018,Under Maintenance,Active,12258
VEH0145,Mini Truck,DRV0145,Diesel,1000,2021,Maintenance Required,Maintenance,137101
VEH0146,Mini Truck,DRV0146,Diesel,1500,2018,Good,In Transit,249929
VEH0147,Mini Truck,DRV0147,Diesel,2000,2018,Good,In Transit,25879
VEH0148,Mini Truck,DRV0148,CNG,2000,2021,Good,In Transit,47715
VEH0149,Van,DRV0149,Diesel,1000,2022,Good,In Transit,240794
VEH0150,Mini Truck,DRV0150,Petrol,1000,2024,Good,In Transit,85890
VEH0151,Mini Truck,DRV0151,Diesel,2000,2018,Good,Idle,235962
VEH0152,Van,DRV0152,Diesel,1000,2017,Due Soon,Active,80984
VEH0153,Van,DRV0153,Diesel,750,2024,Good,In Transit,90146
VEH0154,Truck,DRV0154,Diesel,2000,2023,Good,Active,30597
VEH0155,Van,DRV0155,Diesel,750,2023,Good,In Transit,118311
VEH0156,Mini Truck,DRV0156,CNG,1500,2024,Good,In Transit,45450
VEH0157,Mini Truck,DRV0157,Diesel,1500,2023,Good,In Transit,226166
VEH0158,Mini Truck,DRV0158,Diesel,1500,2017,Good,Active,227008
