order_id,customer_id,warehouse_id,driver_id,vehicle_id,order_date,region,delivery_status,order_value,delivery_distance_km,promised_delivery_time_min,actual_delivery_time_min,delivery_delay_min,is_delayed,temperature_c,humidity_pct,rainfall_mm,weather_condition,weather_risk,delivery_risk
ORD004741,CUST0782,WH002,DRV0146,VEH0130,2026-01-01,Madurai,In Transit,329.06,9.32,40.9,47.53,6.63,1,29.52,91.48,0.96,Cloudy,Moderate,Medium
ORD001572,CUST0235,WH002,DRV0013,VEH0163,2026-01-03,Trichy,Delivered,360.3,7.56,48.44,51.94,3.5,1,25.2,52.07,5.7,Light Rain,Moderate,Medium
ORD002408,CUST0321,WH004,DRV0072,VEH0185,2026-01-06,Madurai,Delivered,100.0,8.42,52.69,55.11,2.42,1,24.01,75.63,8.06,Rain,Moderate,Medium
ORD002874,CUST0836,WH007,DRV0032,VEH0037,2026-01-09,Chennai,Delivered,389.96,6.29,57.51,63.36,5.85,1,27.61,55.03,3.1,Light Rain,Moderate,Medium
ORD004555,CUST0017,WH006,DRV0135,VEH0093,2026-01-11,Madurai,Delivered,100.0,3.35,29.4,29.98,0.58,1,26.47,75.66,0.5,Clear,Moderate,Medium
ORD001497,CUST0365,WH001,DRV0102,VEH0107,2026-01-13,Madurai,Delivered,100.0,16.07,108.34,101.26,0.0,0,33.14,82.86,7.0,Light Rain,Moderate,Low
ORD004865,CUST0088,WH001,DRV0187,VEH0040,2026-01-16,Vellore,Delivered,169.03,11.43,94.1,82.69,0.0,0,26.81,77.59,4.74,Light Rain,Moderate,Low
ORD001357,CUST0613,WH006,DRV0160,VEH0148,2026-01-19,Salem,Delivered,474.98,11.09,58.1,66.37,8.27,1,29.14,59.82,1.91,Clear,Moderate,Medium
ORD004694,CUST0793,WH010,DRV0061,VEH0029,2026-01-22,Trichy,Delivered,248.59,12.88,56.68,58.57,1.89,1,28.86,78.2,1.71,Clear,Moderate,Medium
ORD001696,CUST0027,WH007,DRV0073,VEH0143,2026-01-24,Chennai,Delivered,100.0,7.4,49.53,50.61,1.08,1,23.74,66.39,6.17,Light Rain,Moderate,Medium
ORD003888,CUST0896,WH009,DRV0150,VEH0136,2026-01-27,Coimbatore,Delivered,100.0,10.85,99.4,88.92,0.0,0,33.26,63.52,23.13,Rain,High,High
ORD004524,CUST0513,WH001,DRV0030,VEH0084,2026-01-29,Coimbatore,Delivered,197.74,22.71,171.16,159.72,0.0,0,26.12,78.61,12.71,Rain,Moderate,Low
ORD000573,CUST0567,WH003,DRV0095,VEH0094,2026-01-31,Salem,In Transit,132.02,14.84,80.86,79.33,0.0,0,32.81,61.15,13.77,Rain,Moderate,Low
ORD004676,CUST0969,WH001,DRV0133,VEH0119,2026-02-04,Erode,Delivered,367.33,2.81,42.09,36.68,0.0,0,29.68,70.62,9.0,Rain,Moderate,Low
ORD001709,CUST0444,WH003,DRV0007,VEH0098,2026-02-06,Madurai,Delivered,313.23,6.52,29.77,26.64,0.0,0,31.32,87.78,5.28,Light Rain,Moderate,Low
ORD001470,CUST0332,WH005,DRV0079,VEH0164,2026-02-08,Tirunelveli,Delivered,143.07,6.45,59.57,59.07,0.0,0,32.79,56.34,2.25,Light Rain,Moderate,Low
ORD004053,CUST0155,WH003,DRV0118,VEH0063,2026-02-10,Chennai,Delivered,209.44,13.82,122.28,112.46,0.0,0,29.65,65.88,6.65,Light Rain,Moderate,Low
ORD002369,CUST0555,WH001,DRV0143,VEH0037,2026-02-12,Trichy,Delivered,292.19,19.77,90.55,79.48,0.0,0,30.51,68.25,11.27,Rain,Moderate,Low
ORD003643,CUST0765,WH002,DRV0028,VEH0132,2026-02-15,Erode,Delivered,143.79,6.98,48.62,53.24,4.62,1,32.38,47.38,3.29,Light Rain,Moderate,Medium
ORD002890,CUST0898,WH001,DRV0001,VEH0045,2026-02-18,Erode,Delivered,183.42,7.98,88.01,78.54,0.0,0,32.09,79.61,16.1,Rain,Moderate,Low
ORD004839,CUST0368,WH002,DRV0117,VEH0104,2026-02-21,Madurai,Delivered,361.95,2.94,31.44,34.21,2.77,1,30.59,50.38,1.54,Clear,Moderate,Medium
ORD002036,CUST0198,WH002,DRV0162,VEH0085,2026-02-23,Trichy,Delivered,328.56,34.71,180.07,205.66,25.59,1,28.02,70.27,0.96,Clear,Moderate,Medium
ORD000159,CUST0342,WH009,DRV0166,VEH0042,2026-02-26,Madurai,Delivered,100.0,17.07,55.79,63.27,7.48,1,25.0,57.04,5.48,Light Rain,Moderate,Medium
ORD002888,CUST0367,WH010,DRV0062,VEH0008,2026-03-01,Trichy,Delayed,323.48,7.66,57.02,64.54,7.52,1,28.02,63.07,0.4,Clear,Moderate,Medium
ORD004755,CUST0693,WH004,DRV0143,VEH0006,2026-03-04,Chennai,Delivered,116.6,6.05,14.88,14.49,0.0,0,28.14,92.71,5.3,Light Rain,Moderate,Low
ORD000728,CUST0629,WH002,DRV0074,VEH0126,2026-03-07,Madurai,Delivered,244.97,6.29,45.11,47.58,2.47,1,26.5,70.74,14.5,Rain,Moderate,Medium
ORD004992,CUST0638,WH010,DRV0059,VEH0107,2026-03-09,Madurai,Delayed,154.38,6.83,76.02,73.36,0.0,1,28.15,59.81,2.23,Light Rain,Moderate,Medium
ORD004229,CUST0669,WH003,DRV0105,VEH0176,2026-03-11,Tirunelveli,Delivered,100.0,16.4,51.5,53.95,2.45,1,28.44,56.88,6.35,Light Rain,Moderate,Medium
ORD004387,CUST0142,WH003,DRV0170,VEH0166,2026-03-14,Madurai,Delivered,146.26,8.12,42.3,49.58,7.28,1,27.86,59.07,1.32,Clear,Moderate,Medium
ORD003063,CUST0361,WH002,DRV0118,VEH0037,2026-03-17,Salem,Delivered,937.31,22.3,161.97,166.94,4.97,1,29.19,66.16,7.47,Light Rain,Moderate,Medium
ORD004764,CUST0613,WH003,DRV0074,VEH0144,2026-03-19,Vellore,In Transit,424.15,15.15,75.71,81.5,5.79,1,26.57,56.56,11.7,Rain,Moderate,Medium
ORD001251,CUST0497,WH003,DRV0035,VEH0123,2026-03-21,Madurai,Delivered,100.98,25.08,124.96,144.56,19.6,1,27.31,62.5,2.98,Light Rain,Moderate,Medium
ORD000404,CUST0685,WH006,DRV0170,VEH0012,2026-03-24,Chennai,In Transit,783.7,11.2,68.38,60.75,0.0,0,30.98,79.0,5.68,Light Rain,Moderate,Low
ORD001512,CUST0842,WH002,DRV0024,VEH0043,2026-03-26,Madurai,Delivered,124.81,3.6,41.43,42.85,1.42,1,30.98,75.64,5.89,Light Rain,Moderate,Medium
ORD001234,CUST0163,WH009,DRV0107,VEH0068,2026-03-28,Erode,Delivered,132.46,20.56,155.59,144.28,0.0,0,31.19,68.2,9.59,Rain,Moderate,Low
ORD000922,CUST0743,WH005,DRV0104,VEH0133,2026-03-31,Coimbatore,Delivered,181.39,8.76,50.66,47.37,0.0,0,31.51,75.24,3.78,Light Rain,Moderate,Low
ORD001202,CUST0250,WH008,DRV0097,VEH0187,2026-04-02,Tirunelveli,Delivered,235.68,15.47,113.4,100.59,0.0,0,27.68,67.1,1.57,Clear,Moderate,Low
ORD002548,CUST0481,WH001,DRV0077,VEH0198,2026-04-05,Chennai,In Transit,127.0,1.15,35.49,31.61,0.0,0,30.6,67.93,3.31,Light Rain,Moderate,Low
ORD003718,CUST0868,WH005,DRV0023,VEH0095,2026-04-08,Coimbatore,In Transit,531.28,11.55,79.15,75.59,0.0,0,35.03,69.72,3.75,Light Rain,Moderate,Low
ORD002176,CUST0228,WH005,DRV0100,VEH0048,2026-04-10,Tirunelveli,In Transit,357.7,16.43,113.48,128.2,14.72,1,39.64,51.56,3.05,Light Rain,Moderate,Medium
ORD004805,CUST0416,WH010,DRV0162,VEH0051,2026-04-12,Madurai,Delivered,146.69,5.41,59.9,52.14,0.0,0,35.65,52.63,1.19,Clear,Moderate,Low
ORD004293,CUST0042,WH005,DRV0080,VEH0012,2026-04-14,Coimbatore,Delayed,261.75,7.1,55.31,57.63,2.32,1,33.72,86.68,3.74,Light Rain,Moderate,Medium
ORD002048,CUST0906,WH010,DRV0170,VEH0105,2026-04-16,Trichy,Delivered,277.17,4.95,34.76,38.82,4.06,1,34.94,52.04,0.85,Clear,Moderate,Medium
ORD004851,CUST0043,WH001,DRV0164,VEH0052,2026-04-18,Tirunelveli,Delivered,322.84,3.45,51.5,49.44,0.0,0,36.51,64.94,1.95,Clear,Moderate,Low
ORD002497,CUST0390,WH009,DRV0052,VEH0045,2026-04-21,Erode,Delivered,102.38,18.43,103.53,90.22,0.0,0,32.65,55.31,1.4,Clear,Moderate,Low
ORD002656,CUST0927,WH003,DRV0147,VEH0019,2026-04-23,Tirunelveli,Delivered,194.85,13.5,79.85,85.26,5.41,1,33.29,60.14,1.62,Clear,Moderate,Medium
ORD001314,CUST0329,WH009,DRV0070,VEH0007,2026-04-26,Vellore,Delivered,100.0,14.87,87.33,85.86,0.0,0,32.12,77.91,10.5,Rain,Moderate,Low
ORD003153,CUST0522,WH001,DRV0044,VEH0036,2026-04-28,Erode,Delivered,115.65,11.75,58.21,59.05,0.84,1,29.83,67.46,2.43,Light Rain,Moderate,Medium
ORD002147,CUST0290,WH009,DRV0013,VEH0096,2026-04-30,Salem,Delivered,100.0,12.7,97.88,86.62,0.0,0,34.64,54.56,3.3,Light Rain,Moderate,Low
ORD004842,CUST0547,WH002,DRV0111,VEH0112,2026-05-03,Erode,Delivered,453.59,43.18,155.18,182.05,26.87,1,36.23,39.83,5.36,Light Rain,Moderate,Medium
ORD004208,CUST0970,WH008,DRV0181,VEH0043,2026-05-04,Salem,Delivered,421.7,10.67,79.94,80.91,0.97,1,29.33,80.85,10.97,Rain,Moderate,Medium
ORD003882,CUST0181,WH008,DRV0132,VEH0055,2026-05-07,Coimbatore,Delivered,103.59,15.43,94.07,87.27,0.0,0,27.99,77.64,5.31,Light Rain,Moderate,Low
ORD001630,CUST0437,WH003,DRV0187,VEH0146,2026-05-10,Salem,Delayed,100.0,7.21,51.33,59.63,8.3,1,35.27,50.67,3.3,Light Rain,Moderate,Medium
ORD004068,CUST0314,WH004,DRV0105,VEH0084,2026-05-12,Erode,In Transit,104.78,11.16,75.45,74.51,0.0,0,30.78,53.83,0.7,Clear,Moderate,Low
ORD002938,CUST0555,WH001,DRV0147,VEH0113,2026-05-14,Trichy,Delivered,100.0,27.38,170.51,159.49,0.0,0,36.46,65.51,1.44,Clear,Moderate,Low
ORD002067,CUST0664,WH001,DRV0086,VEH0176,2026-05-16,Chennai,Delivered,125.73,3.18,42.49,40.96,0.0,0,29.69,41.2,1.14,Clear,Moderate,Low
ORD003315,CUST0799,WH010,DRV0063,VEH0007,2026-05-19,Salem,Delivered,100.0,7.99,63.39,61.53,0.0,0,32.27,71.89,9.82,Rain,Moderate,Low
ORD003772,CUST0017,WH003,DRV0112,VEH0079,2026-05-21,Erode,Delivered,156.13,5.48,54.85,50.68,0.0,0,32.49,63.69,0.74,Clear,Moderate,Low
ORD004770,CUST0594,WH002,DRV0185,VEH0034,2026-05-23,Trichy,Delivered,160.42,19.1,140.44,124.8,0.0,0,30.32,51.24,2.2,Light Rain,Moderate,Low
ORD001169,CUST0719,WH010,DRV0062,VEH0171,2026-05-26,Madurai,Delivered,155.88,16.93,66.11,64.28,0.0,0,35.43,35.83,5.21,Light Rain,Moderate,Low
